Datum; Uhrzeit; Zaehler; kWh; Temperatur
2019-6-1;0:29:25;50;0.100000;15.687000
2019-6-1;2:47:51;50;0.100000;14.125000
2019-6-1;4:34:19;50;0.100000;13.062000
2019-6-1;4:39:12;50;0.100000;13.250000
2019-6-1;4:44:12;50;0.100000;13.062000
2019-6-1;4:49:43;50;0.100000;13.250000
2019-6-1;4:55:49;50;0.100000;13.250000
2019-6-1;5:2:29;50;0.100000;13.250000
2019-6-1;5:9:7;50;0.100000;13.125000
2019-6-1;5:15:51;50;0.100000;13.250000
2019-6-1;5:22:37;50;0.100000;13.187000
2019-6-1;5:29:13;50;0.100000;12.875000
2019-6-1;5:35:45;50;0.100000;12.875000
2019-6-1;5:42:23;50;0.100000;12.812000
2019-6-1;5:48:55;50;0.100000;12.937000
2019-6-1;5:55:19;50;0.100000;13.187000
2019-6-1;6:1:51;50;0.100000;13.250000
2019-6-1;6:8:24;50;0.100000;13.250000
2019-6-1;6:16:15;50;0.100000;13.312000
2019-6-1;6:56:49;50;0.100000;13.875000
2019-6-1;7:1:32;50;0.100000;13.875000
2019-6-1;7:8:9;50;0.100000;14.000000
2019-6-1;7:14:49;50;0.100000;14.062000
2019-6-1;7:21:30;50;0.100000;14.187000
2019-6-1;7:28:12;50;0.100000;14.375000
2019-6-1;7:35:27;50;0.100000;14.687000
2019-6-1;8:26:2;50;0.100000;18.062000
2019-6-1;9:16:31;50;0.100000;18.250000
2019-6-1;10:7:31;50;0.100000;19.437000
2019-6-1;10:17:17;50;0.100000;19.562000
2019-6-1;10:19:47;50;0.100000;19.625000
2019-6-1;10:21:42;50;0.100000;19.625000
2019-6-1;10:23:5;50;0.100000;19.625000
2019-6-1;10:24:21;50;0.100000;19.625000
2019-6-1;10:25:35;50;0.100000;19.687000
2019-6-1;10:26:46;50;0.100000;19.687000
2019-6-1;10:27:55;50;0.100000;19.750000
2019-6-1;10:29:2;50;0.100000;19.750000
2019-6-1;10:30:8;50;0.100000;19.812000
2019-6-1;10:31:15;50;0.100000;19.812000
2019-6-1;10:32:26;50;0.100000;19.812000
2019-6-1;10:34:7;50;0.100000;19.812000
2019-6-1;10:35:59;50;0.100000;19.875000
2019-6-1;10:38:3;50;0.100000;19.875000
2019-6-1;10:40:25;50;0.100000;19.875000
2019-6-1;10:43:13;50;0.100000;20.000000
2019-6-1;10:46:9;50;0.100000;20.000000
2019-6-1;10:49:3;50;0.100000;19.812000
2019-6-1;10:51:56;50;0.100000;19.937000
2019-6-1;10:55:15;50;0.100000;19.875000
2019-6-1;10:58:33;50;0.100000;20.000000
2019-6-1;12:35:4;50;0.100000;21.062000
2019-6-1;15:11:59;50;0.100000;25.000000
2019-6-1;17:50:41;50;0.100000;28.250000
2019-6-1;20:35:11;50;0.100000;26.187000
2019-6-1;22:52:43;50;0.100000;20.187000
2019-6-1;22:55:12;50;0.100000;20.062000
2019-6-1;22:56:43;50;0.100000;19.937000
2019-6-1;22:58:1;50;0.100000;19.750000
2019-6-1;22:59:16;50;0.100000;19.750000
2019-6-1;23:0:29;50;0.100000;19.625000
2019-6-1;23:1:44;50;0.100000;19.625000
2019-6-1;23:3:21;50;0.100000;19.562000
2019-6-1;23:5:9;50;0.100000;19.500000
2019-6-2;0:42:55;50;0.100000;17.625000
2019-6-2;3:17:15;50;0.100000;14.687000
2019-6-2;4:35:33;50;0.100000;14.187000
2019-6-2;4:40:25;50;0.100000;14.187000
2019-6-2;4:45:54;50;0.100000;14.062000
2019-6-2;4:52:21;50;0.100000;14.000000
2019-6-2;4:59:9;50;0.100000;14.187000
2019-6-2;5:5:47;50;0.100000;14.250000
2019-6-2;5:12:21;50;0.100000;14.187000
2019-6-2;5:46:31;50;0.100000;14.187000
2019-6-2;5:52:43;50;0.100000;13.750000
2019-6-2;5:58:56;50;0.100000;13.687000
2019-6-2;6:5:26;50;0.100000;13.937000
2019-6-2;6:11:53;50;0.100000;14.000000
2019-6-2;6:18:28;50;0.100000;14.312000
2019-6-2;6:59:7;50;0.100000;14.937000
2019-6-2;7:51:47;50;0.100000;15.812000
2019-6-2;8:7:15;50;0.100000;16.187000
2019-6-2;8:13:29;50;0.100000;16.312000
2019-6-2;8:20:39;50;0.100000;16.625000
2019-6-2;9:4:5;50;0.100000;18.312000
2019-6-2;9:58:46;50;0.100000;20.687000
2019-6-2;10:55:57;50;0.100000;22.125000
2019-6-2;10:58:22;50;0.100000;22.125000
2019-6-2;11:0:19;50;0.100000;22.375000
2019-6-2;11:2:9;50;0.100000;22.500000
2019-6-2;11:3:55;50;0.100000;22.562000
2019-6-2;11:5:37;50;0.100000;22.562000
2019-6-2;11:7:15;50;0.100000;22.437000
2019-6-2;11:8:58;50;0.100000;22.312000
2019-6-2;11:16:19;50;0.100000;22.875000
2019-6-2;11:18:17;50;0.100000;23.000000
2019-6-2;11:20:9;50;0.100000;22.875000
2019-6-2;11:22:19;50;0.100000;22.812000
2019-6-2;11:25:34;50;0.100000;22.625000
2019-6-2;11:34:9;50;0.100000;23.312000
2019-6-2;11:36:20;50;0.100000;23.312000
2019-6-2;11:44:8;50;0.100000;23.437000
2019-6-2;13:6:27;50;0.100000;24.437000
2019-6-2;15:58:45;50;0.100000;29.250000
2019-6-2;18:8:13;50;0.100000;27.500000
2019-6-2;18:10:52;50;0.100000;27.312000
2019-6-2;18:12:59;50;0.100000;27.187000
2019-6-2;18:14:58;50;0.100000;27.062000
2019-6-2;18:16:50;50;0.100000;27.125000
2019-6-2;18:18:37;50;0.100000;27.187000
2019-6-2;18:20:19;50;0.100000;27.187000
2019-6-2;18:21:58;50;0.100000;27.125000
2019-6-2;18:23:41;50;0.100000;27.125000
2019-6-2;21:14:17;50;0.100000;25.625000
2019-6-2;22:13:32;50;0.100000;23.375000
2019-6-2;22:16:2;50;0.100000;23.250000
2019-6-2;22:18:8;50;0.100000;23.062000
2019-6-2;22:19:33;50;0.100000;23.000000
2019-6-2;22:20:47;50;0.100000;23.062000
2019-6-2;22:21:58;50;0.100000;22.937000
2019-6-2;22:23:6;50;0.100000;23.000000
2019-6-2;22:24:13;50;0.100000;23.062000
2019-6-2;22:25:19;50;0.100000;23.000000
2019-6-2;22:26:47;50;0.100000;23.000000
2019-6-2;22:28:33;50;0.100000;23.000000
2019-6-2;22:30:31;50;0.100000;22.812000
2019-6-2;22:32:44;50;0.100000;22.687000
2019-6-2;23:26:46;50;0.100000;21.187000
2019-6-3;2:22:54;50;0.100000;19.000000
2019-6-3;5:13:37;50;0.100000;16.687000
2019-6-3;7:41:27;50;0.100000;17.625000
2019-6-3;10:14:14;50;0.100000;23.375000
2019-6-3;13:2:3;50;0.100000;25.937000
2019-6-3;14:31:54;50;0.100000;29.125000
2019-6-3;14:34:38;50;0.100000;29.437000
2019-6-3;14:36:54;50;0.100000;29.687000
2019-6-3;14:38:25;50;0.100000;29.812000
2019-6-3;14:39:40;50;0.100000;29.750000
2019-6-3;14:40:52;50;0.100000;29.187000
2019-6-3;14:42:1;50;0.100000;28.750000
2019-6-3;14:43:9;50;0.100000;28.500000
2019-6-3;14:44:15;50;0.100000;28.625000
2019-6-3;14:45:24;50;0.100000;28.937000
2019-6-3;14:46:44;50;0.100000;29.250000
2019-6-3;14:48:29;50;0.100000;29.625000
2019-6-3;14:50:24;50;0.100000;29.687000
2019-6-3;14:52:33;50;0.100000;29.625000
2019-6-3;14:55:0;50;0.100000;29.812000
2019-6-3;16:55:10;50;0.100000;28.625000
2019-6-3;19:51:15;50;0.100000;27.000000
2019-6-3;22:46:14;50;0.100000;20.562000
2019-6-4;1:41:52;50;0.100000;17.625000
2019-6-4;4:4:3;50;0.100000;16.375000
2019-6-4;4:9:13;50;0.100000;16.250000
2019-6-4;4:21:12;50;0.100000;16.375000
2019-6-4;4:37:34;50;0.100000;15.625000
2019-6-4;4:40:4;50;0.100000;15.437000
2019-6-4;4:42:23;50;0.100000;15.750000
2019-6-4;4:44:34;50;0.100000;15.937000
2019-6-4;4:46:40;50;0.100000;16.062000
2019-6-4;4:48:42;50;0.100000;15.937000
2019-6-4;4:50:41;50;0.100000;15.875000
2019-6-4;4:52:38;50;0.100000;15.812000
2019-6-4;4:54:31;50;0.100000;15.875000
2019-6-4;4:56:23;50;0.100000;15.687000
2019-6-4;4:58:17;50;0.100000;15.687000
2019-6-4;5:19:4;50;0.100000;15.812000
2019-6-4;6:11:29;50;0.100000;15.562000
2019-6-4;6:25:36;50;0.100000;15.875000
2019-6-4;6:31:39;50;0.100000;16.062000
2019-6-4;6:38:37;50;0.100000;16.187000
2019-6-4;6:45:30;50;0.100000;16.062000
2019-6-4;6:52:21;50;0.100000;16.125000
2019-6-4;7:6:29;50;0.100000;16.500000
2019-6-4;8:57:17;50;0.100000;19.562000
2019-6-4;11:45:39;50;0.100000;23.375000
2019-6-4;14:38:5;50;0.100000;26.562000
2019-6-4;15:7:41;50;0.100000;27.812000
2019-6-4;15:9:30;50;0.100000;27.937000
2019-6-4;15:10:49;50;0.100000;27.937000
