Datum; Uhrzeit; Zaehler; kWh; Temperatur
2019-5-1;0:21:15;50;0.10000;0
2019-5-1;2:3:39;50;0.100000;0
2019-5-1;2:8:11;50;0.100000;0
2019-5-1;2:12:53;50;0.10000;0
2019-5-1;2:17:46;50;0.10000;0
2019-5-1;2:22:51;50;0.10000;0
2019-5-1;2:28:11;50;0.10000;0
2019-5-1;2:33:56;50;0.10000;0
2019-5-1;2:39:57;50;0.10000;0
2019-5-1;2:46:15;50;0.10000;0
2019-5-1;2:52:41;50;0.10000;0
2019-5-1;2:59:4;50;0.100000;0
2019-5-1;3:5:24;50;0.100000;0
2019-5-1;3:11:47;50;0.10000;0
2019-5-1;3:18:10;50;0.10000;0
2019-5-1;3:24:29;50;0.10000;0
2019-5-1;3:30:50;50;0.10000;0
2019-5-1;3:37:14;50;0.10000;0
2019-5-1;3:43:33;50;0.10000;0
2019-5-1;3:49:50;50;0.10000;0
2019-5-1;3:56:8;50;0.100000;0
2019-5-1;4:2:19;50;0.100000;0
2019-5-1;4:7:51;50;0.100000;0
2019-5-1;4:13:0;50;0.100000;0
2019-5-1;4:17:52;50;0.10000;0
2019-5-1;4:22:35;50;0.10000;0
2019-5-1;4:27:8;50;0.100000;0
2019-5-1;4:31:39;50;0.10000;0
2019-5-1;4:36:8;50;0.100000;0
2019-5-1;4:40:31;50;0.10000;0
2019-5-1;4:44:52;50;0.10000;0
2019-5-1;4:49:11;50;0.10000;0
2019-5-1;4:53:30;50;0.10000;0
2019-5-1;4:57:50;50;0.10000;0
2019-5-1;5:2:9;50;0.100000 ;0
2019-5-1;5:6:29;50;0.100000;0
2019-5-1;5:10:53;50;0.10000;0
2019-5-1;5:15:18;50;0.10000;0
2019-5-1;5:19:45;50;0.10000;0
2019-5-1;5:24:12;50;0.10000;0
2019-5-1;5:28:40;50;0.10000;0
2019-5-1;5:33:14;50;0.10000;0
2019-5-1;5:37:57;50;0.10000;0
2019-5-1;5:42:42;50;0.10000;0
2019-5-1;5:45:32;50;0.10000;0
2019-5-1;5:47:17;50;0.10000;0
2019-5-1;5:48:59;50;0.10000;0
2019-5-1;5:50:38;50;0.10000;0
2019-5-1;5:52:15;50;0.10000;0
2019-5-1;5:53:51;50;0.10000;0
2019-5-1;5:55:32;50;0.10000;0
2019-5-1;5:58:47;50;0.10000;0
2019-5-1;6:3:20;50;0.100000;0
2019-5-1;6:7:59;50;0.100000;0
2019-5-1;6:12:47;50;0.10000;0
2019-5-1;6:17:39;50;0.10000;0
2019-5-1;6:22:47;50;0.10000;0
2019-5-1;6:28:4;50;0.100000;0
2019-5-1;6:33:26;50;0.10000;0
2019-5-1;6:38:49;50;0.10000;0
2019-5-1;6:44:29;50;0.10000;0
2019-5-1;6:50:23;50;0.10000;0
2019-5-1;6:56:23;50;0.10000;0
2019-5-1;7:2:18;50;0.100000;0
2019-5-1;7:8:13;50;0.100000;0
2019-5-1;7:14:7;50;0.100000;0
2019-5-1;7:20:7;50;0.100000;0
2019-5-1;7:26:3;50;0.100000;0
2019-5-1;7:41:10;50;0.10000;0
2019-5-1;8:29:19;50;0.10000;0
2019-5-1;9:17:54;50;0.10000;0
2019-5-1;10:6:56;50;0.10000;0
2019-5-1;10:59:39;50;0.1000;0
2019-5-1;11:52:26;50;0.1000;0
2019-5-1;12:45:9;50;0.10000;0
2019-5-1;13:38:14;50;0.1000;0
2019-5-1;14:32:59;50;0.1000;0
2019-5-1;14:37:50;50;0.1000;0
2019-5-1;14:43:38;50;0.1000;0
2019-5-1;14:50:9;50;0.10000;0
2019-5-1;14:56:37;50;0.1000;0
2019-5-1;15:11:16;50;0.1000;0
2019-5-1;15:20:26;50;0.1000;0
2019-5-1;15:22:34;50;0.1000;0
2019-5-1;15:24:32;50;0.1000;0
2019-5-1;15:26:23;50;0.1000;0
2019-5-1;15:28:10;50;0.1000;0
2019-5-1;15:29:52;50;0.1000;0
2019-5-1;15:31:31;50;0.1000;0
2019-5-1;15:33:11;50;0.1000;0
2019-5-1;15:34:57;50;0.1000;0
2019-5-1;15:53:47;50;0.1000;0
2019-5-1;16:15:23;50;0.1000;0
2019-5-1;16:21:14;50;0.1000;0
2019-5-1;17:1:44;50;0.10000;0
2019-5-1;17:56:29;50;0.1000;0
2019-5-1;18:44:46;50;0.1000;0
2019-5-1;18:49:28;50;0.1000;0
2019-5-1;18:56:33;50;0.1000;0
2019-5-1;19:46:39;50;0.1000;0
2019-5-1;21:43:48;50;0.1000;0
2019-5-1;21:47:2;50;0.10000;0
2019-5-1;21:48:45;50;0.1000;0
2019-5-1;21:50:11;50;0.1000;0
2019-5-1;21:51:32;50;0.1000;0
2019-5-1;21:52:48;50;0.1000;0
2019-5-1;21:53:59;50;0.1000;0
2019-5-1;21:55:8;50;0.10000;0
2019-5-1;21:56:17;50;0.1000;0
2019-5-1;21:57:47;50;0.1000;0
2019-5-1;21:59:29;50;0.1000;0
2019-5-1;22:1:15;50;0.10000;0
2019-5-1;23:33:40;50;0.1000;0
2019-5-2;1:50:12;50;0.10000;0
2019-5-2;2:7:11;50;0.100000;0
2019-5-2;2:13:36;50;0.10000;0
2019-5-2;2:21:0;50;0.100000;0
2019-5-2;3:11:2;50;0.100000;0
2019-5-2;4:0:59;50;0.100000;0
2019-5-2;4:7:31;50;0.100000;0
2019-5-2;4:11:57;50;0.10000;0
2019-5-2;4:16:37;50;0.10000;0
2019-5-2;4:21:29;50;0.10000;0
2019-5-2;4:26:21;50;0.10000;0
2019-5-2;4:31:24;50;0.10000;0
2019-5-2;4:36:43;50;0.10000;0
2019-5-2;4:42:24;50;0.10000;0
2019-5-2;4:48:8;50;0.100000;0
2019-5-2;4:54:4;50;0.100000;0
2019-5-2;5:0:14;50;0.100000;0
2019-5-2;5:6:38;50;0.100000;0
