Datum; Uhrzeit; Zaehler; kWh; Temperatur
2019-7-1;2:9:34;50;0.100000;23.812000
2019-7-1;5:11:54;50;0.100000;21.500000
2019-7-1;8:13:40;50;0.100000;22.375000
2019-7-1;11:16:49;50;0.100000;24.937000
2019-7-1;14:23:5;50;0.100000;27.312000
2019-7-1;14:58:45;50;0.100000;27.312000
2019-7-1;15:0:54;50;0.100000;27.375000
2019-7-1;15:2:50;50;0.100000;27.125000
2019-7-1;15:4:40;50;0.100000;27.187000
2019-7-1;15:6:26;50;0.100000;27.375000
2019-7-1;15:8:8;50;0.100000;28.000000
2019-7-1;15:9:47;50;0.100000;28.375000
2019-7-1;15:11:28;50;0.100000;28.687000
2019-7-1;15:13:16;50;0.100000;29.000000
2019-7-1;18:5:43;50;0.100000;27.687000
2019-7-1;21:12:59;50;0.100000;24.250000
2019-7-2;0:10:6;50;0.100000;20.562000
2019-7-2;3:9:33;50;0.100000;17.375000
2019-7-2;4:13:57;50;0.100000;16.687000
2019-7-2;4:17:2;50;0.100000;16.500000
2019-7-2;4:19:49;50;0.100000;16.625000
2019-7-2;4:22:1;50;0.100000;16.500000
2019-7-2;4:23:39;50;0.100000;16.437000
2019-7-2;4:25:12;50;0.100000;16.437000
2019-7-2;4:26:43;50;0.100000;16.500000
2019-7-2;4:28:12;50;0.100000;16.437000
2019-7-2;4:29:38;50;0.100000;16.437000
2019-7-2;4:31:3;50;0.100000;16.375000
2019-7-2;4:32:25;50;0.100000;16.437000
2019-7-2;4:33:46;50;0.100000;16.437000
2019-7-2;4:35:5;50;0.100000;16.437000
2019-7-2;4:36:28;50;0.100000;16.375000
2019-7-2;4:38:10;50;0.100000;16.375000
2019-7-2;4:40:14;50;0.100000;16.250000
2019-7-2;5:19:17;50;0.100000;16.437000
2019-7-2;6:56:59;50;0.100000;15.812000
2019-7-2;8:44:30;50;0.100000;17.125000
2019-7-2;11:46:46;50;0.100000;19.687000
2019-7-2;14:48:49;50;0.100000;22.125000
2019-7-2;15:13:32;50;0.100000;21.875000
2019-7-2;15:15:31;50;0.100000;22.312000
2019-7-2;15:17:19;50;0.100000;22.437000
2019-7-2;15:19:2;50;0.100000;23.187000
2019-7-2;15:20:41;50;0.100000;23.187000
2019-7-2;15:22:22;50;0.100000;22.875000
2019-7-2;15:24:9;50;0.100000;22.812000
2019-7-2;18:15:17;50;0.100000;24.375000
2019-7-2;21:14:2;50;0.100000;19.875000
2019-7-3;0:13:25;50;0.100000;15.937000
2019-7-3;2:5:11;50;0.100000;14.000000
2019-7-3;2:53:28;50;0.100000;13.500000
2019-7-3;3:49:57;50;0.100000;12.812000
2019-7-3;4:6:56;50;0.100000;12.625000
2019-7-3;4:12:19;50;0.100000;12.437000
2019-7-3;4:18:33;50;0.100000;12.375000
2019-7-3;4:23:58;50;0.100000;12.312000
2019-7-3;4:26:25;50;0.100000;12.250000
2019-7-3;4:28:40;50;0.100000;12.125000
2019-7-3;4:30:45;50;0.100000;12.062000
2019-7-3;4:32:22;50;0.100000;12.000000
2019-7-3;4:33:56;50;0.100000;11.937000
2019-7-3;4:35:27;50;0.100000;12.000000
2019-7-3;4:36:56;50;0.100000;12.062000
2019-7-3;4:38:23;50;0.100000;12.062000
2019-7-3;4:39:49;50;0.100000;12.125000
2019-7-3;4:41:13;50;0.100000;12.125000
2019-7-3;4:42:35;50;0.100000;11.937000
2019-7-3;4:43:57;50;0.100000;11.812000
2019-7-3;4:45:21;50;0.100000;11.875000
2019-7-3;4:47:1;50;0.100000;11.750000
2019-7-3;4:48:54;50;0.100000;11.812000
2019-7-3;5:2:14;50;0.100000;11.937000
2019-7-3;5:53:22;50;0.100000;11.062000
2019-7-3;5:57:39;50;0.100000;11.375000
2019-7-3;6:3:38;50;0.100000;11.500000
2019-7-3;6:43:37;50;0.100000;12.187000
2019-7-3;7:11:45;50;0.100000;12.750000
2019-7-3;7:16:47;50;0.100000;12.750000
2019-7-3;7:39:15;50;0.100000;12.937000
2019-7-3;8:36:9;50;0.100000;14.000000
2019-7-3;9:33:3;50;0.100000;15.062000
2019-7-3;10:29:46;50;0.100000;16.125000
2019-7-3;11:56:11;50;0.100000;17.250000
2019-7-3;14:56:14;50;0.100000;20.187000
2019-7-3;15:12:47;50;0.100000;20.062000
2019-7-3;15:14:49;50;0.100000;20.250000
2019-7-3;15:16:39;50;0.100000;20.375000
2019-7-3;15:18:24;50;0.100000;20.437000
2019-7-3;15:20:6;50;0.100000;20.625000
2019-7-3;15:21:44;50;0.100000;20.750000
2019-7-3;15:23:27;50;0.100000;20.687000
2019-7-3;16:18:14;50;0.100000;23.187000
2019-7-3;19:17:39;50;0.100000;23.687000
2019-7-3;22:17:14;50;0.100000;17.562000
2019-7-4;1:15:48;50;0.100000;13.312000
2019-7-4;2:6:43;50;0.100000;12.312000
2019-7-4;2:21:57;50;0.100000;12.062000
2019-7-4;3:18:39;50;0.100000;12.000000
2019-7-4;4:4:23;50;0.100000;11.875000
2019-7-4;4:9:1;50;0.100000;11.812000
2019-7-4;4:13:14;50;0.100000;11.500000
2019-7-4;4:15:46;50;0.100000;11.375000
2019-7-4;4:17:52;50;0.100000;11.250000
2019-7-4;4:19:37;50;0.100000;11.250000
2019-7-4;4:21:16;50;0.100000;11.187000
2019-7-4;4:22:53;50;0.100000;11.187000
